rating,review,location
5.0,Very professional. The MRI department does a great job.,Houston Methodist St John Hospital
1.0,"I was born at TMH in the med center 46 yrs ago and have been a patient there more times than I can count.  So when we moved to Clear Lake I assumed Methodist/St John's would be a good hospital.  ,I was wrong!  I had one of the worst ER experiences today.  No need for details.  Worst male  triage nurse I have ever met in my life.... After being a rude condescending unprofessional and a complete jerk to me in the triage.... he must have found my husbands pain funny because I overheard him laughing about my husband to the doc as the other nurse showed us to our room.,I will say our RN Amanda was fantastic'",Houston Methodist St John Hospital
3.0,"i went to the ER on a wednesday around 8 pm after falling 10 feet while bouldering and injuring my arm. my friend pulled up to the front door to walk me in and an off-duty nurse who was clearly heading home from her shift told us we needed to enter through the ER which was on the opposite side of the hospital. i was in a lot of pain so she offered to wheel me there--a 10/15 min walk. she spoke to me and kept me calm the entire time and was just wonderful. thank you, Laura!,the ER was empty except for 2 others. i went right up to the registrar which was kind of an awkward experience bc she's asking for all this info while i'm crying in pain. plus she asked me what my social security number was and there were other ppl well within hearing distance so that made me uncomfortable to have to recite it out loud. i didnt have my wallet with me though so it was kind of them to admit me immediately despite no insurance card or id.,i ended up waiting over an hour until i got some pain medicine for a broken arm. nurses and X-ray techs came in and out throughout that hour but they kept telling me the meds were coming, the meds were coming. when the shot of morphine didnt help, i had to wait another hour until they gave me an iv drip--the entire hour before, i was telling them i was still in a lot of pain. also the payment collector person came in even before i got either of those medications, so it was just frustrating to be told i needed to pay $500 upfront and i hadn't had any sort of treatment yet/no one had seen me.,overall, the entire ordeal took over 5 hrs, which is to be expected at the ER i guess. i didnt mind being there for 5 hours, i just think timeliness and the order in which things happened could have been better. the staff was fine though, nice in their exchanges and informative. the X-ray techs---mike, levi, and carlos---were very accommodating as i had trouble shifting to the X-ray table so they offered to take the images from my hospital bed.",Houston Methodist Willowbrook Hospital
5.0,"I'm not writing as a patient, but as a guest I give the place five stars. Every single one of my relative's nurses and attendants has been fantastic. They are friendly and they never rushed the patient. They also treated her with the dignity and respect that she needed when she was in a vulnerable state.,Every employee that I encountered had exactly the right attitude and was sympathetic towards guests and patients. The first person i talked to walked me to where I was going when I asked for directions,  even though that probably wasn't part of his regular duties.,One other thing-- the cafeteria/food court is five stars for variety, food quality and pricing.",Houston Methodist Hospital
5.0,"Largest and greatest variety of cuisines I've ever seen in a hospital. Shouldn't be surprised considering TMH's size. ,Great food; try the salmon as it's ALWAYS on point! ,Some of the valet guys, eh hit or miss. Some nice, others in DESPERATE need of some customer service training.",Houston Methodist Hospital
4.0,"I'm fairly familiar with The Methodist Hospital.  My grandmother was a patient in the early 90's, I worked across the street in Scurlock Tower for a few summers in my high school days, and most recently my mom was a patient.,It seems that the hospital is aware that not everyone is there for happy times, like childbirth, and great care is taken to allow people to be at peace.  There are places for people to pray and worship regardless of their religion, and there is a beautiful garden where people can meditate or just be alone.  I was able to stay overnight in my mom's room with her on a pull-out chair that laid flat and wasn't as uncomfortable as I anticipated, and the nurses gave me linens and pillows.  Additionally, the cafeteria has good food and it's not overpriced.  I realize people don't hang out at hospitals for the food, but when you're there for an extended period of time, it's good to know you don't have to venture far away from your ill loved one just to grab a bite to eat.,However, I had two frustrations: the length of time it took to get my mom from recovery to an actual room, and the length of her bed in her room.  Since check-out is at 11am every day, you'd think the empty rooms would be cleaned and prepped by 4:30pm when my mom was technically finished with the recovery phase of her surgery.  Nope - three hours later, she was finally wheeled into a room.  Every time the nurse in the recovery room called to the nurse's station on the patient floor, they said it wasn't ready yet.  Also, my mom is 5'9"" and the bed seemed to be meant for the pediatric unit.  She had to crumple up her legs in order to fit them in the bed, but she wasn't able to turn onto her side to sleep.  Eventually, (five hours after the first request with several other requests in the meantime) she was given a bed extension so she could lay down like normal.,Overall, I think The Methodist Hospital is great, and should I find myself in Houston in need of medical attention, it would be at the top of my list for places to go if I had the choice.",Houston Methodist Hospital
5.0,"After spending more than 84 days in this place I think I have a pretty good feel for the place.  The staff here is amazing, everyone from transportation to housekeeping were always so nice to me.  The nurses and doctors were amazing, and they  saved my life.  ,I found the hospital easy to navigate, friendly staff members everywhere and after you do it once or twice parking is really easy.",Houston Methodist Hospital
5.0,"This is mostly a review of the cafeteria, but this really IS ""as good as it gets"" for hospital food.  I haven't had a single thing I didn't like.  You really can't go wrong.  Their desserts look fabulous too.  Everyone raves about their bread pudding.  They are busiest from 11-1, but the checkout lines move fast.,On to the hospital...  Fortunately for me, I've never had to be an inpatient at a hospital. *Knock on wood.* But if you have to go to the hospital, you can't go wrong with Methodist.  They are awesome.  I'm a student nurse here, and it beats the other hospital I was at last semester, which shall remained unnamed.  You will encounter the occasional person who probably should not be in that profession, but that happens everywhere.  Don't let that keep you from coming here.",Houston Methodist Hospital
4.0,"Thanks GOD I have never actually had to visit as a patient...not to say that they don't have some of the best doctors in the world working here, because they do. But I have been fortunate enough to enjoy good health. ,I visit Methodist because the GREATEST neurologist works here...and I get the pleasure of picking her up from work every now and then!!!,With that said, Houston is the best place in the world to get sick!!!",Houston Methodist Hospital
5.0,"Came in with my Mom due to her having back pain. Staff has been fantastic, even though I am not the patient My Mom's nurse brought me a warm blanket (fresh from the drier) and everyone has been respectful and kind.",Houston Methodist Hospital
5.0,Methodist hospital is a wonderful hospital..If you have to be in the hospital no place better. The staff and the doctors are the best. It is a beautiful hospital very serene setting in the lobby. They tend to your every need. Very friendly staff on all levels.I wish everyone reading this good health but if you have to go to the hospital you will feel very taken care of here.,Houston Methodist Hospital
5.0,"Great hospital with a great staff. The MarketPlace Cafe (their cafeteria) is pretty amazing considering it's hospital food. I would by no means come here specifically for food but if you work here, then you don't have it so rough. With a make-your-own-salad bar, a plethora of mini desserts (MY KRYPTONITE), and a pretty good home cooking station, there's something for almost everyone. I also respect that the cafeteria makes brown rice sushi, that there's a Starbucks in the lobby, that it has a Mariott Hotel, and that they have a volunteer who plays the piano beautifully for people in the lobby. It's been on quite a few lists for best oncology, pediatrics, cancer treatments, and many more. ,Overall, a great hospital.",Houston Methodist Hospital
5.0,"The staff is very helpful, alert, and happy.  I'm very confident knowing  Methodist Willowbrook is the hospital closest to our home.  Having first hand experience with the ER I'm happy to say we were quickly attended to.  Granted, it was heart issues, but they acted professionally and quickly.  I can't say enough good about this facilty.  The communicaiton between staff is exceptional.  It is a customer service centered facility.,Only negative needing improvement is security at night , it's not that comforting nor visible.  I think there could be more night security both in the parking lot and common areas.    Hopefully security camera's are in place and working.  If you leave the building at night the only way you can get back in the building is via the ER entrance.",Houston Methodist Willowbrook Hospital
4.0,"The Methodist Hospital Cafeteria is very good! There are lots of options from Asian stir fry (with spring rolls and egg rolls), grill station (burgers and fries), salad bar, pizza, pastries, desserts, and more! It's a wonderful selection for hospital food... but don't be fooled, it is still hospital food!!  ,Today I had some fried rice and it was gross.  It had been soaked too long and the rice was all mushy. The egg rolls are ok. The chicken sandwich was ok and cheap! The fries were not worth getting.,The soda machine was down, so you had to purchase bottled soda or tea.,It's good as far as hospital food goes. It's just not 5 stars compared to food outside of the hospital.",Houston Methodist Hospital
5.0,Beautiful and clean hospital. My sister had all 3 of her kids here and I had mine at the Willowbrook location. Methodist hospital is the best hospital in Houston.,Houston Methodist Hospital
4.0,"Two scary experiences had led me to the Methodist Hospital. ,My 1st was for endoscopic thoracic surgery, where the surgeons work closely on my spine...to me that was nerve-wracking. And actually, the doctors were really working on my nerves, literally. I have hyperhidrosis, an overactive nervous system where my hands, feet, and armpits would excessively sweat. Thanks to the wonderful Dr. Garza and his special team, my hands and armpits are no longer embarrassing me (as for my feet, well that's another story and perhaps another surgery another day)!  To sum it all up in simple terms, the doctor removed the ganglion nerves from my spine between thoracic bones T3 and T4 and replaced the nerves with tubes. And voilà presto!!!....sweat be-gone!,My 2nd experience wasn't so great. I had a really bad and very rare reaction to some medication I was taking, which led me to my 7-day stay at this hospital.  I had to deal with a large team of various doctors: dermatologist, endocrinologist, oncologist, internal medicine, cardiologist, etc. Nobody knew how to deal with me or my symptoms. When I was in the bathroom, I had suddenly turned dark purple all over. My mother panicked and pulled the emergency cord. Nobody came! She pulled it 2 more times and still no attention from staff!!! She ran out to get help. I was soon given morphine and felt really good after that! ;) To make a long story short, I was given special skin cream and strong steroids and the problem went away on its own after months of waiting on the meds to flush out of my system.,The only positive thing from that horrific experience was meeting a great oncologist, Dr. Foote. He's funny, patient, caring, and knowledgeable. The other doctors weren't so patient with me and weren't so friendly to this suffering patient.,The meals served (and even the choices available) each day were actually okay for hospital food.  Also, the cafeteria food was tasty too. My mother kept telling me how much she loved the burgers from the cafeteria and would often get them during her visits.",Houston Methodist Hospital
5.0,"Best hospital in Houston.  Will not change it for anything. I live in the east side, and still manage to go to med center Methodist instead of the Methodist in Baytown. Mrs. Debra in the ER is the bomb. I was there 5-28 bymyself and she was so kind and sweet. Even gave me a hug. :) ,My granny has been going to this hospital for almost 40+ years. I have had 3 of my 4 bb's there. Love it. :)",Houston Methodist Hospital
4.0,"Great Hospital, crappy parking....",Houston Methodist Hospital
5.0,"This review will cover the facility, staff, work, experience and the cafeteria.,I've had some of the most memorable and rewarding experiences working at this hospital.  Each and every nurse and surgeon I worked alongside were highly knowledgeable in their focus as well as enthusiastic about their positions there.  One would feel the same way over the great benefits, good coworkers and the hospital's #1 goal for patient and employee satisfaction.,I worked in the operating room for orthopedics, neuro and general cases.  Everyday was a rewarding and educational experience.  The facilities were always clean, sterile and every nurse and surge were attentive to the case at hand.  Every patient left happy.,The building(s) itself is beautiful.  You're welcomed by high cathedral sky-light ceilings, a tranquility fountain, marble floors and a musician at the baby grand piano.  It's very inviting to families waiting or worried about their loved ones being tended to.  Plenty of lounging area.,The cafeteria can't be beat here.  Personally I think it rivals top college cafes like UCLA.  Several stations hone different international cuisines.  Everything is prepared fresh in the many exposed kitchens.  Many of the menu items are made to order as well.  I've never had one bad meal here.  ,The medical staff is the best.",Houston Methodist Hospital
5.0,"This is definitely one of my weirder reviews, but hey I'm weird.,First of all the ER is pretty quickly. I was there twice in a span of a week, and both times my time in the waiting room was under 15 min. The intake process involved less paperwork than expected. I was in and out of the hospital in no time.,The nurses were blunt as expected, but they were quite respectful, and didn't treat me like a complete idiot. They were helpful with all my questions. ,The care was good and all but I feel like this review is more about the food. It was kind of an obsession during my stay there. I think it's partially because I'm a college student, and hadn't eaten a decent meal in weeks. Actually it was pretty tasty by any cafeteria type standards. Again, college student eating in an absolutely horrific cafeteria. During my stay they would give you a menu each day with some pretty good choices, but I was pretty sick of jello by the end of it (and I didn't think that was humanly possible!). The actual cafeteria has a great variety and worth eating at if you find yourself in the med center.",Houston Methodist Hospital
5.0,"Heart problems run in my family.  I guess its just the bad heart gene passed down on my father's side.  I have had Atrial Fibrillation (rapid heartbeat) for over 20 years.  I have gone to Cardiologist after Cardiologist from Tyler, Tx. to Texas City, Tx and to no avail could anyone get a handle on slowing my heart rate to a normal sinus rhytum.  I would get a Cardioversion (electrical shot to the heart) and my heart would take a regular rhythum for 2 or 3 days and them BAM, it would go right back into Atrial Fibrillation.  Doctors loved to ""medicate"" me.  I've tried just about every heart rhytum medication known to man.  Then one day while in my Cardiologist's office in Texas City I saw one of his associates, a Doctor Seabolt. ,This is where my life takes a right turn.  Dr. Seabolt told me of an Electrophysiologist (they work on the electrical part of the heart) named Dr. Nadim Nassir.  Dr. N. Nassir is with Willowbrook Cardiovascular Associates and has an office in the Medical Center in the Scurlock Tower.  He operates out of the Methodist Hospital right across the street.  A walkway over Fannin connects the two buildings.  I started seeing Dr. Nadim Nassir and kicked my regular Cardiologist to the curb in Texas City.  I have been seeing this man for under 6 months.  He covered the regular gauntlet changing a few medications and 4 different Cardioversions.  A little over a month ago he changed me over to Amioderone and issued another Cardioversion.   IT WORKED !!!!!!!!!!!!!!  I have now been in regular sinus rhythum for over a month now and I feel so much better.,I cannot reccomend Dr. Nadim Nassir and Methodist Hospital highly enough.  They have literally changed and extended my life for the better.  The professionalism and the expertice that I have been surrounded by at this hospital has been amazing.",Houston Methodist Hospital
5.0,Wonderful hospital. They took great care of my mom and the after care and constent follow up they have given her is second to none.,Houston Methodist Hospital
5.0,Excellent patient care and top doctors!,Houston Methodist Hospital
4.0,"Who loves hospitals enough to give them 5 stars?  Not I.  But I will give Methodist 4 stars.  Came here to do an outpatient procedure at the blood bank.  Dr. Leveque who is the director of the blood bank is nice and warm and makes you feel as much at ease as possible during these things.  The entire staff seemed courteous and professional, and though my experience has been limited to just this department and just these few people, I hope they justifiably reflect the rest of the Methodist staff.  The lobby area is comfortable and has a Starbucks in case you need to run away for a little while.  (Just kidding.  Not really.)",Houston Methodist Hospital
5.0,"Labor and Delivery was awesome here at this hospital.  Everyone was fantastic. When I would call for things like help walking somewhere or help turning around the nurses came with a smile and were very sweet. After the baby was born, the delivery nurse came in when her shift was over and gave me a big hug. I felt great with the people there!,The delivery room was spacious and the post pardum room was comfortable. Both rooms were private and although you could hear the babies crying in other recovery rooms it was very faint (I slept through it most of the time).,My husband slept nicely on the pull out couch.  The only thing I would complain about would be the on call pediatrician that is assigned if you don't have one picked out is a little insensitive. We had some questions that she found to be rediculous, since she laughed at the fact we were asking the question.,This was our first child so I don't have anything to compare to but we will definitely be back.",Houston Methodist West Hospital
5.0,I enjoyed my stay from the time I walked in the hospital they made me feel so Good! And comfortable! I love there Staff that's my second time in that hospital and they are as good as they look! Every one is so professional! And it's a beautiful Hospital! And clean! I don't wish bad on anyone but if u do go to a hospital go Methodist West in Katy TX,Houston Methodist West Hospital
2.0,"We came here for a simple x-ray of my husband's achilles heel area after a visit to our doctor's office in the adjoining professional building. The facility is very nice,  spacious and sparkling new. Lots of great comfortable waiting/seating areas to accomodate patients & visitors. We had no idea how important that would come to be. After being directed to the area where we would get the x-ray & checking in with the clerk, we sat for an unusual amount of time. We watched several people who had checked in AFTER us called back for their x-rays. My husband went to ask why & was told that they were going to be calling him soon. Then after another wait, he again went to see what was the delay (he was clearly agitated at this point). We were then informed that the x-ray order was not correct (it did not specify which foot) and because of that they needed our doctor to fax over a corrected order before they could proceed. Our issue was not the error as mistakes occur, but no explanation was given to us while we just continued to sit and wait & be passed over by people who had checked in after us. At a minimum, WE could have called our doctor's office to expedite the correction it someone had simply told us the reason for the delay. It just caused my husband a lot of irritation as he was already in an incredible amount of pain & was ready to pick up his meds and get home & this was an unreasonable delay.",Houston Methodist West Hospital
4.0,"Had baby #3 here and LOVE this hospital! The nurses and staff are really nice and really take care of you. I was stunned by how much they do for you and mind you I've had 2 other babies are 2 other hospitals and the service isnt like this one.,The only bad part - the food is not good. Most people dont like hospital food, but the other hospitals werent so bad. I hope Methodist improves their food selection, then I would up it to 5 stars.",Houston Methodist West Hospital
1.0,"My daughter had a head injury and waitecd over 4 hours before she was even seen by a doctor.  There were many other people who came in after her with minor injuries and were seen before her, what the hell??   The woman at the desk copped an attitude with my daughter .... this is ER from HELL",Houston Methodist West Hospital
5.0,Place is about 3-4 years old. Love the customer service here. Great staff. The facility is amazing and I noticed that they tend to patients needs individually. The staff here acts in a very professional manner. On the third floor there is a Starbucks.,Houston Methodist West Hospital
5.0,Delivered my daughter here the nurses and doctors did an amazing job!,Houston Methodist West Hospital
5.0,"I love having Methodist in Katy.,The facility is so clean and new.  Every room is a private room which was so nice, and allowed me to have privacy and made me more comfortable. Family was able to visit me often, which really comforted me.  All the staff I came in contact with was friendly and caring.  They really had my best interest at heart.  It made me feel comfortable and less afraid of the hospital stay.  ,I would recommend this hospital to every one I know.,If I ever have to come back- this is where I will visit.",Houston Methodist West Hospital
1.0,My wife and i had to go this hospital because we were thinking we were having a miscarriage. We had to wait for over an hour in a near empty emergency room to be looked at. The staff other than the ultrasound tech were rude and rough with my wife. We were never given a bed until we were to see the doctor for his explanation. That was four hours in the emergency room. It was not clean to the standards I am accustom. It did not look like a new hospital but a run down one. Never going back. I will go to St Lukes in The Woodlands first.,Houston Methodist West Hospital
5.0,"I can't say enough good things about the care I received at this hospital.  I had been sick and getting progressively worse for several days.  I tried on 2 different occasions to go to Hermann Memorial near my home, both times the wait was going to be hours.  My Dr. finally recommended this hospital and against my better judgement I drove myself.  The emergency dept got me right in.  The ER doctor could have been a bit more pleasant but the nurses were great.  It was determined that I had pancreatitis.  They admitted me and even gave me a ""suite"" usually reserved for VIP's.  The care I received in the 24 hours I spent there couldn't have been any better, despite unpleasant blood draws and the only thing they could give me to sleep was morphine (that's not exactly great sleep LOL).  Not sure I would have gone this route had I know they were not in my insurance network because I wound up paying a huge bill but the care I received could not have been better.",Houston Methodist West Hospital
1.0,The hospital is not very clean and there is blood on one of the bed frames. Also there are no walkers for the patient to use. There are so many issues with hospital ..,San Jacinto Methodist Hospital
3.0,"This is your stereotypical overcrowded ER. The care was adequate, but not my favorite. The triage nurse was pleasant and comforting, but after that point not so much. ,The rest of the hospital is quite nice. Reminds me a lot of a hotel. The signage isn't fantastic, and I ended up wandering all around the floor looking for the right office.",Houston Methodist Willowbrook Hospital
4.0,"No one likes having to go to the hospital, but if you do this is the one to go to. We had our baby here and had to stay a week due to complications. The nurses were very nice and on hand at all times. They would get me anything I asked and shared their knowledge with us about anything we needed. The lactation consultant was the funniest person ever, so enthusiastic about her job. The hospital did make me stay a day longer due to their mistake, and my husband wasn't that happy about that. We had our own private room the whole time we were their and my husband was able to sleep on the couch, although he did fall off once because the cushion isn't connected and he just slid. We didn't have a view at all, but at least the food was decent. It does take 45 min for them to deliver food to you form the time that you call, but they tell you that on the phone, sometimes it takes longer, so don't call when you are hungry. Although when you are having your baby here they automatically bring you food, so if you forget to call in your order you might just get a chicken breast and pudding and veggies to eat.",Houston Methodist Willowbrook Hospital
3.0,My mother has recommended me here so I can see a gyno. The first time I went here it was amazing. I loved it. I was in and out. Now I'm back again to get my depo shot. I've been waiting longer than an hour. And 7 other women who came in later were called in before me where in and out. I'm a little aggravated at that but other than that the nurses are all wonderful and nice!,Houston Methodist West Hospital
1.0,"The sad thing about this place is it is the only hospital in the Katy area that has a Cath lab so if the 911 ambulance thinks you are having a Heart attack or you think you are having a heart attack and are driven to Methodist West Houston...Patient beware.  What I was told after the fact is there are NO Staff Cardiologists there.  They call in a doctor who works out of that hospital and several other hospitals in the area and they come from all over when they are called.  I wanted to get to the Med Center..I knew I was having the Big One.  Being a female...I had to convince them and beg them to take another EKG.  This is when they called CODE BLUE!  I asked again to be transferred with Oxygen to the med center and that is only a 15 minute drive in an ambulance, blaring....This did not happen.  I had some doctor that I could not pronounce his name and he  said I would die in 20 minutes.  I prayed for my life.  I woke up and my husband was with me as was my son.  They told me that the doctor said I had a huge clot in the LAD but no heart damage.  He stented it and I would be fine.  I was not fine and knew it.  This doctor like the other cardiologist, I was told, is not an exclusively  Methodist Cardio.  He makes the rounds of several hospitals.    I still had discomfort but figured it was the stent in the LAD.  Less than 3 weeks later the pains escalated at 3:00AM in the morning.  I was NOT going back to Methodist West Houston to get just anybody, again.  I wanted the Mercedes so my husband flew down the WestPark tollway from Cinco Ranch and made it to the Medical Center ER in 24 minutes.  Thank God there was no traffic at that time.  ER was waiting for me.  I was treated like a queen.  I awoke with two Interventionalist Cardiologists at my side.  They had to put in another stent ..larger than the one that the other doctor at Methodist West Houston had put in.  His was apparently too small causing problems. .  I am now in heart failure with heart damage.  Had things been done differently the first time, 3 weeks earlier at Methodist West, we feel I would not of suffered a second massive heart attack, 3 weeks later.  ,Isn't it a shame that Katy is growing by leaps and bounds and many Seniors are moving here to be closer to their  children and grandchildren.  With Senior Populous we bring medical problems and are more prone to serious health woes. Builders are building more patio Homes for us...Senior Apartments are being built....Even Luby's is getting into the act as they know where the Seniors are and that Seniors love Luby's.....Thank You, Luby's.......But, Methodist West Houston needs their Own Physicians that work out of that hospital exclusively and know the Cath Lab inside and Out.....and chose the right size stent for a patient.  I am truly sorry we moved here for this very reason.  I am scared. And, no Provider  should tell a patient  they have only 20 minutes to live.  Gads.",Houston Methodist West Hospital
1.0,"Ok, my dad was admitted to this hospital late Monday night. I came to visit at 9 am the next morning. He was admitted for muscle spasms and overall pain in his shoulders and back. He has a history of this. He also has a bad heart. The stress from the pain caused his heart to have problems. They needed to control the pain to be able to work on the heart. From 9am-1 pm I was there with him. They decided to put him on a pain pump. That took 4 hours to hook up. He has now been there one whole day since then. His pain has gotten worse. They haven't come up with a plan of action to help him. The pain Dr. Has been less than friendly or helpful. He was also disrespectful to a nurse in front of my mom and dad. It was very unprofessional. I just called my mom to see how he is doing. She was crying and he was screaming. I wouldn't be writing this if I felt they had done everything. From what I have observed and heard, they have not done a damn thing!!!!  Do not go up there if you have a choice. They are useless!!!",Houston Methodist West Hospital
1.0,"This Methodist location (Katy) is horrible & crooked. Their scheduling department is a joke & I had the most frustrating experience with them & the scheduler I got (Rashawnda) was extremely rude & was just a miserable person. I've never been treated like that. When I arrived their registration department was a mess. I waited over two hours, no one knew what they were doing, & when I went to ask what was going on & why I was still waiting I was told ""Sorry, you came at lunch, everyone is on break, there isn't much I can do about that. Just have a seat & we will get to you when we can get to you"". I was in shock & wanted to walk out but I needed the test done & had already taken off of work. After 2 hours I was registered & was told I owed more money than I should have paid. I tried pointing this out to them, but they had no idea what they were doing so I ended up just paying what they said. I later spoke with my insurance company who also agreed I over paid & they helped me get my money back, but, it took about 7 weeks for the hospital to do this. This is unacceptable & most people don't have money to give away because the registration department has no clue what they are doing & can't even read an insurance card. I finally made it to the radiology department & was further shocked. The lady at their check in desk was wrapped up in a blanket! Can you imagine? She was unprofessionally in appearance & behavior. She was gossiping with another employee when I walked up & you could tell from body language she was upset & she handed me a clip board without even turning to face me! She was still gripping to her co-worker. This is supposed to be Methodist mind you! I've never been treated like this. This is an open area & she was talking bad about other radiology technicians not doing their job & how their manager wouldn't fix it. Patients should NEVER hear things like this. I filled out the paperwork & gave it back to her & then waited over 45 minutes for my cat scan. The CT technician that came to get me was nice, but the only word that comes to mind that describes my experience with her is incompetent. Her personal appearance was horrible, her scrubs were dirty, wrinkled, & too large. She looked dirty & had greasy hair, & I, sorry to say she had a horrible order to her  both from her body & her mouth. When someone is poking on you & using needles on you, you want your surroundings & the people taking care of you to be clean. She tried 3 times to start an IV on me & couldn't get it. She was shaking & you could tell she had no idea what she was doing. She took the needle out at know point & I had blood leaking everywhere & she froze! I held a tissue to it! She finally got someone else to help her & they got it first try. This technician apologized for the other one & seemed frustrated with her. I'm assuming from her body language that this happens all the time. The cat scan room was dirty too. There was a sticky mess all over the floor & the machine & I stepped in it & told the technician but she just threw a towel over it! This is unacceptable! My experience at Methodist Hospital's West location was miserable & I will never go there again & I will tell my family & friends not to go there either. This hospital is clearly not an extension of the original Methodist Hospital in the medical center. As another review said I would rather drive to downtown Houston & pay to park then ever come here again. The kicker is I asked to speak to the radiology manager & when she finally came to talk to me she was rude & short with me as well. She clearly had no interest in talking to me & it seemed she was in a hurry. I asked if she could do anything & she said at this hospital they had no ""service recovery"", whatever that is, so her hands were tied.  Now, I'm not an expert in these things, but if you hear abad story of how a patient was treated & don't care to make it better,then you clearly don't belong in healthcare. So disappointed in Methodist West Houston Hospital!",Houston Methodist West Hospital
